vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,"2018-12-31T22:20:50,000","2018-12-31T22:46:28,000",6,5.09,1,N,146,173,2,20,0.5,0.5,0,0,0.3,21.3
2,"2018-12-31T22:19:24,000","2018-12-31T22:33:15,000",6,3.53,1,N,48,75,2,13,0.5,0.5,0,0,0.3,14.3
2,"2018-12-31T22:17:35,000","2018-12-31T22:30:01,000",5,3.72,1,N,235,116,2,13,0.5,0.5,0,0,0.3,14.3
2,"2018-12-31T22:17:08,000","2018-12-31T22:35:57,000",6,9.50,1,N,138,244,2,27,0.5,0.5,0,5.76,0.3,34.06
2,"2018-12-31T22:16:49,000","2018-12-31T23:04:17,000",5,12.52,1,N,151,254,2,43,0.5,0.5,0,0,0.3,44.3
2,"2018-12-31T22:16:47,000","2018-12-31T22:56:13,000",5,20.84,2,N,132,151,1,52,0,0.5,15,5.76,0.3,73.56
2,"2018-12-31T22:16:28,000","2018-12-31T22:44:03,000",5,5.16,1,N,263,211,1,20,0.5,0.5,0,0,0.3,21.3
2,"2018-12-31T22:15:00,000","2018-12-31T22:33:50,000",6,6.82,1,N,132,197,2,22,0.5,0.5,0,0,0.3,23.3
2,"2018-12-31T22:14:45,000","2018-12-31T23:06:47,000",5,9.75,1,N,264,264,2,39,0.5,0.5,0,0,0.3,40.3
2,"2018-12-31T22:13:30,000","2018-12-31T22:43:49,000",6,17.19,2,N,132,162,2,52,0,0.5,0,5.76,0.3,58.56
2,"2018-12-31T22:12:58,000","2018-12-31T22:46:29,000",5,8.70,1,N,186,255,2,30,0.5,0.5,0,0,0.3,31.3
2,"2018-12-31T22:12:21,000","2018-12-31T22:54:27,000",5,18.47,2,N,132,48,1,52,0,0.5,12,0,0.3,64.8
2,"2018-12-31T22:11:29,000","2018-12-31T22:43:20,000",5,19.25,2,N,132,236,2,52,0,0.5,0,5.76,0.3,58.56
2,"2018-12-31T22:11:16,000","2018-12-31T22:34:42,000",6,3.16,1,N,170,246,2,16,0.5,0.5,0,0,0.3,17.3
2,"2018-12-31T22:11:00,000","2018-12-31T22:29:52,000",6,2.56,1,N,238,50,2,14,0.5,0.5,0,0,0.3,15.3
2,"2018-12-31T22:10:44,000","2018-12-31T22:25:15,000",5,2.38,1,N,264,264,2,11,0.5,0.5,0,0,0.3,12.3
2,"2018-12-31T22:10:30,000","2018-12-31T22:28:29,000",6,4.04,1,N,158,33,1,16,0.5,0.5,4,0,0.3,21.3
2,"2018-12-31T22:08:05,000","2018-12-31T22:52:12,000",5,19.16,1,N,61,41,1,55,0.5,0.5,0,5.76,0.3,62.06
2,"2018-12-31T22:06:39,000","2018-12-31T22:29:47,000",6,4.24,1,N,229,261,2,17,0.5,0.5,0,0,0.3,18.3
2,"2018-12-31T22:06:12,000","2018-12-31T22:19:36,000",5,1.70,1,N,125,79,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T22:06:11,000","2018-12-31T22:20:14,000",5,1.41,1,N,161,186,1,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T22:05:45,000","2018-12-31T22:24:42,000",5,3.23,1,N,41,69,2,15,0.5,0.5,0,0,0.3,16.3
2,"2018-12-31T22:05:36,000","2018-12-31T22:26:03,000",6,2.37,1,N,249,233,2,14,0.5,0.5,0,0,0.3,15.3
2,"2018-12-31T22:05:35,000","2018-12-31T22:34:33,000",6,3.33,1,N,229,68,2,19,0.5,0.5,0,0,0.3,20.3
2,"2018-12-31T22:03:56,000","2018-12-31T22:14:26,000",6,2.68,1,N,162,262,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T22:03:12,000","2018-12-31T22:50:47,000",6,10.53,1,N,48,181,1,38,0.5,0.5,0,0,0.3,39.3
2,"2018-12-31T22:02:52,000","2018-12-31T22:18:02,000",6,6.95,1,N,138,112,1,21,0.5,0.5,8,0,0.3,30.3
2,"2018-12-31T22:02:33,000","2018-12-31T22:20:43,000",5,7.52,1,N,244,237,2,23,0.5,0.5,0,0,0.3,24.3
2,"2018-12-31T22:01:37,000","2018-12-31T22:38:00,000",5,18.13,2,N,132,161,2,52,0,0.5,0,5.76,0.3,58.56
2,"2018-12-31T22:01:04,000","2018-12-31T22:20:02,000",6,4.75,1,N,68,151,2,18,0.5,0.5,0,0,0.3,19.3
2,"2018-12-31T22:00:54,000","2018-12-31T22:21:51,000",5,6.34,1,N,48,244,2,22,0.5,0.5,0,0,0.3,23.3
2,"2018-12-31T22:00:19,000","2018-12-31T22:31:26,000",5,4.29,1,N,79,49,1,22,0.5,0.5,3,0,0.3,26.3
2,"2018-12-31T22:00:07,000","2018-12-31T22:29:42,000",5,12.80,1,N,137,174,1,37,0.5,0.5,0,0,0.3,38.3
2,"2018-12-31T21:59:39,000","2018-12-31T22:22:10,000",5,2.19,1,N,107,230,2,15,0.5,0.5,0,0,0.3,16.3
2,"2018-12-31T21:59:30,000","2018-12-31T22:13:22,000",6,2.64,1,N,236,163,1,12,0.5,0.5,1,0,0.3,14.3
2,"2018-12-31T21:59:17,000","2018-12-31T22:10:01,000",5,2.48,1,N,74,141,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T21:57:54,000","2018-12-31T22:12:48,000",5,2.50,1,N,142,170,1,12,0.5,0.5,2,0,0.3,15.3
